Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Product Category,Custom Product Type,Custom Collection
SNEAKER-SIZE-6,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 6",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=1,1,"Custom Splatter Sneakers - Size 6",false,Custom Splatter Sneakers Size 6,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
SNEAKER-SIZE-7,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 7",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=2,1,"Custom Splatter Sneakers - Size 7",false,Custom Splatter Sneakers Size 7,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
SNEAKER-SIZE-8,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 8",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=3,1,"Custom Splatter Sneakers - Size 8",false,Custom Splatter Sneakers Size 8,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
SNEAKER-SIZE-9,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 9",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=4,1,"Custom Splatter Sneakers - Size 9",false,Custom Splatter Sneakers Size 9,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
SNEAKER-SIZE-10,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 10",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=5,1,"Custom Splatter Sneakers - Size 10",false,Custom Splatter Sneakers Size 10,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
SNEAKER-SIZE-11,Custom Splatter Sneakers,Hand-painted custom sneakers with your choice of colors and patterns. Each pair is unique and created by independent artists.,Spladdered Haus™,Footwear,Shoes,"custom shoes, hand-painted, unique design",true,Size,"Size 11",,,,,,,,,shopify,100,deny,manual,89,,true,true,,https://picsum.photos/500/500?random=6,1,"Custom Splatter Sneakers - Size 11",false,Custom Splatter Sneakers Size 11,Hand-painted custom sneakers with unique splatter designs,Apparel & Accessories > Shoes,Footwear,Sneakers
ART-PRINT-SMALL,Digital Art Print Pack,Set of 5 high-quality digital art prints featuring abstract and contemporary designs. Perfect for home decoration or office spaces.,Spladdered Haus™,Art,Prints,"digital prints, art collection, high quality",true,Size,"Small (8x10)",,,,,,,,,shopify,100,deny,manual,39,,true,true,,https://picsum.photos/500/500?random=7,1,"Digital Art Print Pack - Small",false,Digital Art Print Pack Small,Set of 5 high-quality digital art prints for home decoration,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Art,Prints
ART-PRINT-MEDIUM,Digital Art Print Pack,Set of 5 high-quality digital art prints featuring abstract and contemporary designs. Perfect for home decoration or office spaces.,Spladdered Haus™,Art,Prints,"digital prints, art collection, high quality",true,Size,"Medium (11x14)",,,,,,,,,shopify,100,deny,manual,39,,true,true,,https://picsum.photos/500/500?random=8,1,"Digital Art Print Pack - Medium",false,Digital Art Print Pack Medium,Set of 5 high-quality digital art prints for home decoration,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Art,Prints
ART-PRINT-LARGE,Digital Art Print Pack,Set of 5 high-quality digital art prints featuring abstract and contemporary designs. Perfect for home decoration or office spaces.,Spladdered Haus™,Art,Prints,"digital prints, art collection, high quality",true,Size,"Large (16x20)",,,,,,,,,shopify,100,deny,manual,39,,true,true,,https://picsum.photos/500/500?random=9,1,"Digital Art Print Pack - Large",false,Digital Art Print Pack Large,Set of 5 high-quality digital art prints for home decoration,Arts & Entertainment > Hobbies & Creative Arts > Artwork,Art,Prints
WORKSHOP-BASIC,Design Workshop Kit,Complete starter kit for creating custom shoe designs. Includes paints, brushes, stencils, and instructional materials.,Spladdered Haus™,Workshop,Design Tools,"design tools, workshop, creative kit",true,Type,"Basic Kit",,,,,,,,,shopify,100,deny,manual,67,,true,true,,https://picsum.photos/500/500?random=10,1,"Design Workshop Kit - Basic",false,Design Workshop Kit Basic,Complete design kit for custom shoes and creative projects,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,Kits
WORKSHOP-PRO,Design Workshop Kit,Professional kit for creating custom shoe designs. Includes premium paints, brushes, stencils, and advanced instructional materials.,Spladdered Haus™,Workshop,Design Tools,"design tools, workshop, creative kit",true,Type,"Pro Kit",,,,,,,,,shopify,100,deny,manual,67,,true,true,,https://picsum.photos/500/500?random=11,1,"Design Workshop Kit - Pro",false,Design Workshop Kit Pro,Complete design kit for custom shoes and creative projects,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,Kits
WORKSHOP-MASTER,Design Workshop Kit,Master-level kit for creating custom shoe designs. Includes everything needed for professional results plus exclusive techniques and materials.,Spladdered Haus™,Workshop,Design Tools,"design tools, workshop, creative kit",true,Type,"Master Kit",,,,,,,,,shopify,100,deny,manual,67,,true,true,,https://picsum.photos/500/500?random=12,1,"Design Workshop Kit - Master",false,Design Workshop Kit Master,Complete design kit for custom shoes and creative projects,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,Kits
SCULPTURE-SMALL,3D Printed Art Sculpture,Custom 3D printed sculpture created from your digital designs. Perfect for desktop art or small decorative pieces.,Spladdered Haus™,3D Art,Sculptures,"3D prints, custom art, sculpture",true,Size,"Small (4 inch)",,,,,,,,,shopify,100,deny,manual,45,,true,true,,https://picsum.photos/500/500?random=13,1,"3D Printed Art Sculpture - Small",false,3D Printed Art Sculpture Small,Custom 3D printed sculpture based on your digital designs,Arts & Entertainment > Hobbies & Creative Arts > Artwork,3D Art,Sculptures
SCULPTURE-MEDIUM,3D Printed Art Sculpture,Custom 3D printed sculpture created from your digital designs. Perfect for shelf display or medium-sized decorative pieces.,Spladdered Haus™,3D Art,Sculptures,"3D prints, custom art, sculpture",true,Size,"Medium (6 inch)",,,,,,,,,shopify,100,deny,manual,45,,true,true,,https://picsum.photos/500/500?random=14,1,"3D Printed Art Sculpture - Medium",false,3D Printed Art Sculpture Medium,Custom 3D printed sculpture based on your digital designs,Arts & Entertainment > Hobbies & Creative Arts > Artwork,3D Art,Sculptures
SCULPTURE-LARGE,3D Printed Art Sculpture,Custom 3D printed sculpture created from your digital designs. Perfect for statement pieces or large decorative installations.,Spladdered Haus™,3D Art,Sculptures,"3D prints, custom art, sculpture",true,Size,"Large (8 inch)",,,,,,,,,shopify,100,deny,manual,45,,true,true,,https://picsum.photos/500/500?random=15,1,"3D Printed Art Sculpture - Large",false,3D Printed Art Sculpture Large,Custom 3D printed sculpture based on your digital designs,Arts & Entertainment > Hobbies & Creative Arts > Artwork,3D Art,Sculptures
PHONE-IPHONE,3D Custom Phone Case,Personalized 3D printed phone case with unique textures and designs. Custom-fit for all iPhone models.,Spladdered Haus™,Accessories,Phone Cases,"phone cases, 3D printed, personalized",true,Model,"iPhone Models",,,,,,,,,shopify,100,deny,manual,25,,true,true,,https://picsum.photos/500/500?random=16,1,"3D Custom Phone Case - iPhone",false,3D Custom Phone Case iPhone,Personalized 3D printed phone case with unique textures,Electronics > Electronics Accessories > Phone & PDA Accessories > Phone Cases,Accessories,Phone Cases
PHONE-SAMSUNG,3D Custom Phone Case,Personalized 3D printed phone case with unique textures and designs. Custom-fit for all Samsung models.,Spladdered Haus™,Accessories,Phone Cases,"phone cases, 3D printed, personalized",true,Model,"Samsung Models",,,,,,,,,shopify,100,deny,manual,25,,true,true,,https://picsum.photos/500/500?random=17,1,"3D Custom Phone Case - Samsung",false,3D Custom Phone Case Samsung,Personalized 3D printed phone case with unique textures,Electronics > Electronics Accessories > Phone & PDA Accessories > Phone Cases,Accessories,Phone Cases
PHONE-PIXEL,3D Custom Phone Case,Personalized 3D printed phone case with unique textures and designs. Custom-fit for Google Pixel models.,Spladdered Haus™,Accessories,Phone Cases,"phone cases, 3D printed, personalized",true,Model,"Google Pixel",,,,,,,,,shopify,100,deny,manual,25,,true,true,,https://picsum.photos/500/500?random=18,1,"3D Custom Phone Case - Google Pixel",false,3D Custom Phone Case Google Pixel,Personalized 3D printed phone case with unique textures,Electronics > Electronics Accessories > Phone & PDA Accessories > Phone Cases,Accessories,Phone Cases
PROTOKIT-STARTER,3D Design Prototype Kit,Entry-level 3D printing kit for designers and creators. Includes software, materials, and beginner-friendly tools.,Spladdered Haus™,Workshop,3D Tools,"3D tools, prototype kit, design kit",true,Type,"Starter Kit",,,,,,,,,shopify,100,deny,manual,79,,true,true,,https://picsum.photos/500/500?random=19,1,"3D Design Prototype Kit - Starter",false,3D Design Prototype Kit Starter,Professional 3D printing kit for designers and creators,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,3D Kits
PROTOKIT-PRO,3D Design Prototype Kit,Professional-grade 3D printing kit for serious designers. Advanced software, premium materials, and professional prototyping tools.,Spladdered Haus™,Workshop,3D Tools,"3D tools, prototype kit, design kit",true,Type,"Professional Kit",,,,,,,,,shopify,100,deny,manual,79,,true,true,,https://picsum.photos/500/500?random=20,1,"3D Design Prototype Kit - Professional",false,3D Design Prototype Kit Professional,Professional 3D printing kit for designers and creators,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,3D Kits
PROTOKIT-STUDIO,3D Design Prototype Kit,Complete studio setup for 3D printing and prototyping. Everything needed for a professional 3D design workflow.,Spladdered Haus™,Workshop,3D Tools,"3D tools, prototype kit, design kit",true,Type,"Studio Kit",,,,,,,,,shopify,100,deny,manual,79,,true,true,,https://picsum.photos/500/500?random=21,1,"3D Design Prototype Kit - Studio",false,3D Design Prototype Kit Studio,Professional 3D printing kit for designers and creators,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts,Workshop,3D Kits
